[2026-05-20T11:53:24.338Z] GET file:///tmp/mockup-v1.html → 200 (4ms, 14691B)
[2026-05-20T11:53:24.354Z] GET https://fonts.googleapis.com/css2?family=JetBrains+Mono:wght@300;400;700&display=swap → pending (?ms, ?B)
[2026-05-20T11:53:25.401Z] GET https://fonts.gstatic.com/s/jetbrainsmono/v24/tDbV2o-flEEny0FZhsfKu5WU4xD7OwE.woff2 → pending (?ms, ?B)
[2026-05-20T11:53:26.337Z] GET file:///tmp/mockup-v2.html → 200 (1ms, 18049B)
[2026-05-20T11:53:26.348Z] GET https://fonts.googleapis.com/css2?family=JetBrains+Mono:wght@300;400;700&display=swap → 200 (?ms, 6843B)
[2026-05-20T11:53:26.369Z] GET https://fonts.gstatic.com/s/jetbrainsmono/v24/tDbV2o-flEEny0FZhsfKu5WU4xD7OwE.woff2 → pending (?ms, ?B)
[2026-05-20T12:06:59.134Z] GET file:///mnt/d/ebsclaw/tmp/mockup-v1.html → 200 (2ms, 14691B)
[2026-05-20T12:06:59.140Z] GET https://fonts.googleapis.com/css2?family=JetBrains+Mono:wght@300;400;700&display=swap → 200 (11ms, 6843B)
[2026-05-20T12:06:59.154Z] GET https://fonts.gstatic.com/s/jetbrainsmono/v24/tDbV2o-flEEny0FZhsfKu5WU4xD7OwE.woff2 → 200 (?ms, 40404B)
[2026-05-20T12:07:00.135Z] GET file:///mnt/d/ebsclaw/tmp/mockup-v2.html → 200 (3ms, 18049B)
[2026-05-20T12:07:00.145Z] GET https://fonts.googleapis.com/css2?family=JetBrains+Mono:wght@300;400;700&display=swap → 200 (7ms, 6843B)
[2026-05-20T12:07:00.156Z] GET https://fonts.gstatic.com/s/jetbrainsmono/v24/tDbV2o-flEEny0FZhsfKu5WU4xD7OwE.woff2 → 200 (?ms, 40404B)
